toolName,toolType,_pmid,_doi,_publicationTitle,_year,_confidence,_usageType,nf_specific,completeness_score,priority,strainNomenclature,animalModelGeneticDisorder,animalModelOfManifestation,targetAntigen,hostOrganism,clonality,organ,cellLineGeneticDisorder,cellLineManifestation,cellLineCategory,insertName,vectorType,vectorBackbone,promoter,softwareName,softwareType,softwareVersion,sourceRepository,modelType,derivationSource,cellTypes,organoidType,modelSystemType,patientDiagnosis,hostStrain,tumorType,assessmentName,assessmentType,targetPopulation,diseaseSpecific,numberOfItems,_context,filter_reason
hGFAP-cre+; p53floxE2–10/floxE2–10,animal_models,PMID:32699356,10.1038/s41467-020-17382-3,Murine models of IDH-wild-type glioblastoma exhibit spatial segregation of tumor initiation and manifestation during evolution.,,0.9,Experimental Usage,False,1.00,Medium,hGFAP-cre+; p53floxE2–10/floxE2–10,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"p53 null CKO (p53ΔE2–10 CKO, hGFAP-cre+; p53floxE2–10/floxE2–10) and p53R172H CKO",Publication title lacks NF-specific terms: Murine models of IDH-wild-type glioblastoma exhibit spatial segregation of tumor
hGFAP-cre+; p53LSLR172H/floxE2–10,animal_models,PMID:32699356,10.1038/s41467-020-17382-3,Murine models of IDH-wild-type glioblastoma exhibit spatial segregation of tumor initiation and manifestation during evolution.,,0.9,Experimental Usage,False,1.00,Medium,hGFAP-cre+; p53LSLR172H/floxE2–10,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p53R172H CKO (hGFAP-cre+; p53LSLR172H/floxE2–10) mice analyzed in this study,Publication title lacks NF-specific terms: Murine models of IDH-wild-type glioblastoma exhibit spatial segregation of tumor
C57BL/6,animal_models,PMID:32461556,10.1038/s41467-020-16432-0,Assessing the origin of high-grade serous ovarian cancer using CRISPR-modification of mouse organoids.,,0.9,Experimental Usage,False,1.00,Medium,C57BL/6,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wild-type C57BL/6 and B6J.129(B6N)-Gt(ROSA)26Sor (JAX stock #026175) tm1(CAG-cas9*,-EGFP)Fezh/J mice strains were used",Publication title lacks NF-specific terms: Assessing the origin of high-grade serous ovarian cancer using CRISPR-modificati
"B6J.129(B6N)-Gt(ROSA)26Sor tm1(CAG-cas9*,-EGFP)Fezh/J",animal_models,PMID:32461556,10.1038/s41467-020-16432-0,Assessing the origin of high-grade serous ovarian cancer using CRISPR-modification of mouse organoids.,,0.95,Experimental Usage,False,1.00,Medium,"B6J.129(B6N)-Gt(ROSA)26Sor tm1(CAG-cas9*,-EGFP)Fezh/J",No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B6J.129(B6N)-Gt(ROSA)26Sor (JAX stock #026175) tm1(CAG-cas9*,-EGFP)Fezh/J mice strains were used for derivation of wild-type and Cas9/GFP-expressing organoids",Publication title lacks NF-specific terms: Assessing the origin of high-grade serous ovarian cancer using CRISPR-modificati
NOD.Cg-Prkdc scid Il2rg tm1Wjl /SzJ,animal_models,PMID:32461556,10.1038/s41467-020-16432-0,Assessing the origin of high-grade serous ovarian cancer using CRISPR-modification of mouse organoids.,,0.95,Experimental Usage,False,1.00,Medium,NOD.Cg-Prkdc scid Il2rg tm1Wjl /SzJ,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOD scid gamma (NSG; NOD.Cg-Prkdc scid Il2rg tm1Wjl /SzJ mice were used. Transplantation experiments were performed,Publication title lacks NF-specific terms: Assessing the origin of high-grade serous ovarian cancer using CRISPR-modificati
1016 tuba1a:GFP,animal_models,PMID:34415582,10.1002/glia.24075,Notch signaling via Hey1 and Id2b regulates Müller glia's regenerative response to retinal injury.,,0.9,Experimental Usage,False,1.00,Medium,1016 tuba1a:GFP,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016 tuba1a:GFP, gfap:GFP, hsp70:DN-MAML-GFP, gfap:mCherry and tp1:mCherry, fish were previously described",Publication title lacks NF-specific terms: Notch signaling via Hey1 and Id2b regulates Müller glia's regenerative response 
gfap:GFP,animal_models,PMID:34415582,10.1002/glia.24075,Notch signaling via Hey1 and Id2b regulates Müller glia's regenerative response to retinal injury.,,0.9,Experimental Usage,False,1.00,Medium,gfap:GFP,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016 tuba1a:GFP, gfap:GFP, hsp70:DN-MAML-GFP, gfap:mCherry and tp1:mCherry, fish were previously described",Publication title lacks NF-specific terms: Notch signaling via Hey1 and Id2b regulates Müller glia's regenerative response 
hsp70:DN-MAML-GFP,animal_models,PMID:34415582,10.1002/glia.24075,Notch signaling via Hey1 and Id2b regulates Müller glia's regenerative response to retinal injury.,,0.9,Experimental Usage,False,1.00,Medium,hsp70:DN-MAML-GFP,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016 tuba1a:GFP, gfap:GFP, hsp70:DN-MAML-GFP, gfap:mCherry and tp1:mCherry, fish were previously described",Publication title lacks NF-specific terms: Notch signaling via Hey1 and Id2b regulates Müller glia's regenerative response 
gfap:mCherry,animal_models,PMID:34415582,10.1002/glia.24075,Notch signaling via Hey1 and Id2b regulates Müller glia's regenerative response to retinal injury.,,0.9,Experimental Usage,False,1.00,Medium,gfap:mCherry,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016 tuba1a:GFP, gfap:GFP, hsp70:DN-MAML-GFP, gfap:mCherry and tp1:mCherry, fish were previously described",Publication title lacks NF-specific terms: Notch signaling via Hey1 and Id2b regulates Müller glia's regenerative response 
tp1:mCherry,animal_models,PMID:34415582,10.1002/glia.24075,Notch signaling via Hey1 and Id2b regulates Müller glia's regenerative response to retinal injury.,,0.9,Experimental Usage,False,1.00,Medium,tp1:mCherry,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016 tuba1a:GFP, gfap:GFP, hsp70:DN-MAML-GFP, gfap:mCherry and tp1:mCherry, fish were previously described",Publication title lacks NF-specific terms: Notch signaling via Hey1 and Id2b regulates Müller glia's regenerative response 
athymic nude mice,animal_models,PMID:38502231,10.1172/JCI176748,STING activation reprograms the microenvironment to sensitize NF1-related malignant peripheral nerve sheath tumors for immunotherapy.,,0.85,Experimental Usage,False,1.00,Medium,athymic nude mice,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athymic nude mice were purchased from Charles River Laboratories (stock no. 553).,Wildtype/control with no known disease: athymic nude mice
C57Bl/6,animal_models,PMID:30542164,10.1038/s41586-018-0774-y,Disruption of a self-amplifying catecholamine loop reduces cytokine release syndrome.,,0.85,Experimental Usage,False,1.00,Medium,C57Bl/6,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"For subcutaneous CT26 tumour implantation, LPS and CLP experiments, female C57Bl/6 and BALB/C mice of 6–8 weeks were purchased from Harlan Laboratories.",Publication title lacks NF-specific terms: Disruption of a self-amplifying catecholamine loop reduces cytokine release synd
BALB/C,animal_models,PMID:30542164,10.1038/s41586-018-0774-y,Disruption of a self-amplifying catecholamine loop reduces cytokine release syndrome.,,0.85,Experimental Usage,False,1.00,Medium,BALB/C,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"For subcutaneous CT26 tumour implantation, LPS and CLP experiments, female C57Bl/6 and BALB/C mice of 6–8 weeks were purchased from Harlan Laboratories.",Publication title lacks NF-specific terms: Disruption of a self-amplifying catecholamine loop reduces cytokine release synd
"NOD.Cg-Prkdcscid Il2rgtm1Wjl Tg(CMV-IL3,CSF2,KITLG)1Eav/MloySzJ",animal_models,PMID:30542164,10.1038/s41586-018-0774-y,Disruption of a self-amplifying catecholamine loop reduces cytokine release syndrome.,,0.9,Experimental Usage,False,1.00,Medium,"NOD.Cg-Prkdcscid Il2rgtm1Wjl Tg(CMV-IL3,CSF2,KITLG)1Eav/MloySzJ",No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"For the CART19 treatment, NSG-SGM3 (NSGS) mice (stock number 013062) were purchased from the Jackson Laboratory.",Publication title lacks NF-specific terms: Disruption of a self-amplifying catecholamine loop reduces cytokine release synd
LysMcre Thfl/fl,animal_models,PMID:30542164,10.1038/s41586-018-0774-y,Disruption of a self-amplifying catecholamine loop reduces cytokine release syndrome.,,0.9,Experimental Usage,False,1.00,Medium,LysMcre Thfl/fl,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LysMcre mice were purchased from Jackson Laboratory (stock number 004781), in which a nuclear-localized Cre recombinase was inserted into the first coding exon of the lysozyme 2 (Lyz2 or LysM) gene",Publication title lacks NF-specific terms: Disruption of a self-amplifying catecholamine loop reduces cytokine release synd
NSG,animal_models,PMID:41022755,10.1038/s41467-025-63619-4,Development of an adeno-associated virus vector for gene replacement therapy of NF1-related tumors.,,0.9,Experimental Usage,False,1.00,Medium,NSG,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150,000 cells in 3 µl were implanted in the sciatic nerve of NSG mice (female, 6–10 weeks old)",Wildtype/control with no known disease: NSG
CB17 SCID,animal_models,PMID:39269317,10.1158/1078-0432.CCR-24-1750,MEK Inhibitors Lead to PDGFR Pathway Upregulation and Sensitize Tumors to RAF Dimer Inhibitors in NF1-Deficient Malignant Peripheral Nerve Sheath Tumor.,,0.9,Experimental Usage,False,1.00,Medium,CB17 SCID,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"subcutaneously injected into both flanks of 6- to 8-week-old female CB17 SCID mice (Taconic, RRID: MSR_TAC:cb17sc)",Wildtype/control with no known disease: CB17 SCID
y [1] M{w[+mC] = nos‐Cas9.P}ZH‐2A w[*],animal_models,PMID:39129390,10.1002/1878-0261.13704,Inhibition of autophagy as a novel treatment for neurofibromatosis type 1 tumors.,,0.9,Experimental Usage,False,1.00,Medium,y [1] M{w[+mC] = nos‐Cas9.P}ZH‐2A w[*],No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,germline source of Cas9: y [1] M{w[+mC] = nos‐Cas9.P}ZH‐2A w[*] (Bloomington Stock #54591),Wildtype/control with no known disease: y [1] M{w[+mC] = nos‐Cas9.P}ZH‐2A w[*]
Crl:NU(NCr)‐Foxn1nu,animal_models,PMID:39129390,10.1002/1878-0261.13704,Inhibition of autophagy as a novel treatment for neurofibromatosis type 1 tumors.,,0.95,Experimental Usage,False,1.00,Medium,Crl:NU(NCr)‐Foxn1nu,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subcutaneously into the right flank of male CD‐1 nude mice (Athymic Nude Mice obtained from Charles River (Crl:NU(NCr)‐Foxn1nu)),Wildtype/control with no known disease: Crl:NU(NCr)‐Foxn1nu
C57BL/6J,animal_models,PMID:39129390,10.1002/1878-0261.13704,Inhibition of autophagy as a novel treatment for neurofibromatosis type 1 tumors.,,0.9,Experimental Usage,False,1.00,Medium,C57BL/6J,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxicity studies were performed using CD‐1 mice and C57BL/6J Inbred Mice (JAX® Mice Strain),Wildtype/control with no known disease: C57BL/6J
FVB,animal_models,PMID:29408605,10.1016/j.neuroscience.2018.01.054,Nf2 Mutation in Schwann Cells Delays Functional Neural Recovery Following Injury.,,0.85,Experimental Usage,False,1.00,Medium,FVB,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WT FVB mice were obtained from Jackson Labs (Bar Harbor, ME)",Wildtype/control with no known disease: FVB
nu/nu,animal_models,PMID:21111000,10.1016/j.jneumeth.2010.10.021,A novel imaging-compatible sciatic nerve schwannoma model.,,0.9,Experimental Usage,False,1.00,Medium,nu/nu,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"implanted in 1 µl culture medium into the sciatic nerve of athymic mice (nu/nu, 5-week-old females; Cox 7 breeding facility, MGH)",Wildtype/control with no known disease: nu/nu
Rosa26-LSL-Cas9 knockin,animal_models,PMID:39996452,10.1111/cns.70287,Cas9 Mouse Model of Skull Base Meningioma Driven by Combinational Gene Inactivation in Meningeal Cells.,,0.95,Experimental Usage,False,1.00,Medium,Rosa26-LSL-Cas9 knockin,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Twenty mice of Rosa26‐LSL‐Cas9 knockin were purchased from Jackson Laboratory (Strain #:024857, USA) and successfully bred in our lab.",Wildtype/control with no known disease: Rosa26-LSL-Cas9 knockin
Nf1Prx1-/-,animal_models,PMID:34935315,10.1117/1.JBO.26.12.125001,Analysis of muscle tissue in vivo using fiber-optic autofluorescence and diffuse reflectance spectroscopy.,,0.95,Experimental Usage,True,1.00,High,Nf1Prx1-/-,Neurofibromatosis type 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,...two mouse models of genetic muscle disease: a type 1 neurofibromatosis (NF1) limb-mesenchyme knockout (Nf1Prx1-/-) and a muscular dystrophy mouse (mdx)...,Publication title lacks NF-specific terms: Analysis of muscle tissue in vivo using fiber-optic autofluorescence and diffuse
mdx,animal_models,PMID:34935315,10.1117/1.JBO.26.12.125001,Analysis of muscle tissue in vivo using fiber-optic autofluorescence and diffuse reflectance spectroscopy.,,0.9,Experimental Usage,False,1.00,Medium,mdx,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,...two mouse models of genetic muscle disease: a type 1 neurofibromatosis (NF1) limb-mesenchyme knockout (Nf1Prx1-/-) and a muscular dystrophy mouse (mdx)...,Publication title lacks NF-specific terms: Analysis of muscle tissue in vivo using fiber-optic autofluorescence and diffuse
C57BL/6,animal_models,PMID:34935315,10.1117/1.JBO.26.12.125001,Analysis of muscle tissue in vivo using fiber-optic autofluorescence and diffuse reflectance spectroscopy.,,0.85,Experimental Usage,False,1.00,Medium,C57BL/6,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C57BL/6 mice (B6) and mice (NF1) were bred in-house at the Transgenic Facility at The Children's Hospital at Westmead...,Publication title lacks NF-specific terms: Analysis of muscle tissue in vivo using fiber-optic autofluorescence and diffuse
Nf1flox/flox,animal_models,PMID:34935315,10.1117/1.JBO.26.12.125001,Analysis of muscle tissue in vivo using fiber-optic autofluorescence and diffuse reflectance spectroscopy.,,0.9,Experimental Usage,True,1.00,High,Nf1flox/flox,Neurofibromatosis type 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,...the NF1 mice bred from the Prx1-Cre transgenic mice and the Nf1flox/flox mice...,Publication title lacks NF-specific terms: Analysis of muscle tissue in vivo using fiber-optic autofluorescence and diffuse
Prx1-Cre,animal_models,PMID:34935315,10.1117/1.JBO.26.12.125001,Analysis of muscle tissue in vivo using fiber-optic autofluorescence and diffuse reflectance spectroscopy.,,0.9,Experimental Usage,False,1.00,Medium,Prx1-Cre,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,...the NF1 mice bred from the Prx1-Cre transgenic mice and the Nf1flox/flox mice...,Publication title lacks NF-specific terms: Analysis of muscle tissue in vivo using fiber-optic autofluorescence and diffuse
B10 mdx,animal_models,PMID:34935315,10.1117/1.JBO.26.12.125001,Analysis of muscle tissue in vivo using fiber-optic autofluorescence and diffuse reflectance spectroscopy.,,0.9,Experimental Usage,False,1.00,Medium,B10 mdx,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The mdx mice (B10 mdx) were sourced from Australian Bioresources (ABR, Moss Vale). As these mice are on a C57BL/10 background...",Publication title lacks NF-specific terms: Analysis of muscle tissue in vivo using fiber-optic autofluorescence and diffuse
C57BL/6J,animal_models,PMID:8582272,10.1242/dev.121.11.3583,Neurofibromin-deficient fibroblasts fail to form perineurium in vitro.,,0.9,Experimental Usage,True,1.00,High,C57BL/6J,Neurofibromatosis type 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C57BL/6J mice in which one allele of the NF1 gene has been targeted were generated as described elsewhere,Publication title lacks NF-specific terms: Neurofibromin-deficient fibroblasts fail to form perineurium in vitro.
Nf1 (+/-),animal_models,PMID:8582272,10.1242/dev.121.11.3583,Neurofibromin-deficient fibroblasts fail to form perineurium in vitro.,,0.95,Experimental Usage,True,1.00,High,Nf1 (+/-),Neurofibromatosis type 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male and female Nf1 (+/-) mice were mated for 12–16 hours,Publication title lacks NF-specific terms: Neurofibromin-deficient fibroblasts fail to form perineurium in vitro.
Nf1 (-/-),animal_models,PMID:8582272,10.1242/dev.121.11.3583,Neurofibromin-deficient fibroblasts fail to form perineurium in vitro.,,0.95,Experimental Usage,True,1.00,High,Nf1 (-/-),Neurofibromatosis type 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In order to obtain Nf1 (-/-) embryos, male and female Nf1 (+/-) mice were mated",Publication title lacks NF-specific terms: Neurofibromin-deficient fibroblasts fail to form perineurium in vitro.
NG2-EYFP mice,animal_models,PMID:29715273,10.1371/journal.pone.0196726,Neurofibromatosis type 2 tumor suppressor protein is expressed in oligodendrocytes and regulates cell proliferation and process formation.,,0.9,Experimental Usage,False,1.00,Medium,NG2-EYFP mice,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NG2-EYFP mice, which carry a YFP fluorescent protein gene instead of a NG2 gene, are healthy and fertile and do not show any obvious phenotype",Wildtype/control with no known disease: NG2-EYFP mice
C57Bl6/J,animal_models,PMID:29715273,10.1371/journal.pone.0196726,Neurofibromatosis type 2 tumor suppressor protein is expressed in oligodendrocytes and regulates cell proliferation and process formation.,,0.85,Experimental Usage,False,1.00,Medium,C57Bl6/J,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mice for cell cultures were obtained from breedings of C57Bl6/J mice (Janvier Labs, France)",Wildtype/control with no known disease: C57Bl6/J
